Year	Make	Model	Class	Type	Country	Value (Cr)	Rarity	Source	Source Info
2013	DeBerti	Jeep Wrangler Unlimited	A 645	Unlimited Offroad	USA	150,000	Epic	Autoshow, Wheelspin	
2019	DeBerti	Toyota Tacoma TRD ‘The Performance Truck’	S1 717	Drift Cars	USA	250,000	Common	Autoshow, Wheelspin	
1982	DeLorean	DMC-12	D 357	Retro Sports Cars	USA	72,000	Legendary	Autoshow, Wheelspin	
1970	Dodge	Challenger R/T	C 443	Classic Muscle	USA			Wheelspin, Seasonal	Not in Autoshow
2018	Dodge	Challenger SRT Demon	A 678	Modern Muscle	USA	90,000	Rare	Autoshow, Collection Journal, Wheelspin	
2015	Dodge	Challenger SRT Hellcat	A 631	Modern Muscle	USA	53,000	Rare	Autoshow, Wheelspin	
2022	Dodge	Challenger SRT Super Stock	A 695	Modern Muscle	USA	87,000	Rare	Autoshow, Wheelspin	
1969	Dodge	Charger Daytona HEMI	C 479	Classic Muscle	USA	541,000	Epic	Autoshow, Collection Journal, Wheelspin	
1969	Dodge	Charger R/T	C 417	Classic Muscle	USA	224,000	Treasure Car	Collection Journal	Not in Autoshow, is discoverable Treasure Car
2015	Dodge	Charger SRT Hellcat	A 637	Modern Muscle	USA	44,000	Rare	Autoshow, Wheelspin	
1970	Dodge	Coronet Super Bee	C 455	Classic Muscle	USA	175,000	Rare	Autoshow, Wheelspin	
1968	Dodge	Dart HEMI Super Stock	B 540	Classic Muscle	USA	300,000	Legendary	Wheelspin, Seasonal	Not in Autoshow
2021	Dodge	Durango SRT Hellcat	A 628	Sports Utility Heroes	USA			Collection Journal, Seasonal	Not in Autoshow
2006	Dodge	Ram SRT-10	B 547	Modern Muscle	USA			Seasonal	Not in Autoshow
2016	Dodge	Viper ACR	S1 786	Track Toys	USA			Wheelspin, Seasonal	Not in Autoshow
1999	Dodge	Viper GTS ACR	B 598	Retro Muscle	USA	68,000	Legendary	Autoshow	
1999	Dodge	Viper GTS ACR Forza Edition	A 700	Unlimited Offroad	USA	500,000	Forza Edition	Autoshow DLC	VIP
2008	Dodge	Viper SRT-10 ACR	S1 735	Track Toys	USA	115,000	Rare	Autoshow, Wheelspin	
1967	Ferrari	#24 Ferrari Spa 330 P4	A 684	Classic Racers	Italy	70,000,000	Legendary	Autoshow, Wheelspin	
1962	Ferrari	250 GT Berlinetta Lusso	C 475	Rare Classics	Italy	1,400,000	Legendary	Autoshow, Collection Journal	
1962	Ferrari	250 GTO	C 494	Classic Racers	Italy	48,000,000	Legendary	Autoshow, Wheelspin	
1967	Ferrari	275 GTB4 Spider	C 490	Rare Classics	Italy			Autoshow DLC	Italian Passion Car Pack
1984	Ferrari	288 GTO	A 643	Retro Supercars	Italy			Wheelspin, Seasonal	Not in Autoshow
2022	Ferrari	296 GTB	S2 811	Modern Supercars	Italy	380,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2007	Ferrari	430 Scuderia	S1 702	Modern Supercars	Italy	355,000	Epic	Autoshow, Wheelspin	
2009	Ferrari	458 Italia	S1 721	Modern Supercars	Italy	210,000	Epic	Autoshow, Wheelspin	
2013	Ferrari	458 Speciale	S1 768	Track Toys	Italy	500,000	Epic	Autoshow, Wheelspin	
2015	Ferrari	488 GTB	S1 770	Modern Supercars	Italy	250,000	Epic	Autoshow, Wheelspin	
2019	Ferrari	488 Pista	S2 803	Track Toys	Italy	716,000	Epic	Autoshow, Wheelspin	
1970	Ferrari	512 S	S1 774	Classic Racers	Italy	3,600,000	Legendary	Autoshow, Wheelspin	
1992	Ferrari	512 TR	A 615	Retro Supercars	Italy			Wheelspin, Seasonal	Not in Autoshow
2010	Ferrari	599XX	S2 840	Extreme Track Toys	Italy	2,000,000	Legendary	Autoshow, Wheelspin	
2012	Ferrari	599XX Evolution	S2 894	Extreme Track Toys	Italy			Wheelspin, Seasonal	Not in Autoshow
2017	Ferrari	812 Superfast	S1 780	Super GT	Italy	395,000	Legendary	Autoshow, Wheelspin	
1969	Ferrari	Dino 246 GT	C 428	Rare Classics	Italy	390,000	Epic	Autoshow, Wheelspin	
2002	Ferrari	Enzo Ferrari	S1 755	Retro Supercars	Italy	3,500,000	Legendary	Autoshow	
2015	Ferrari	F12tdf	S1 788	Super GT	Italy	500,000	Epic	Autoshow, Wheelspin	
1994	Ferrari	F355 Berlinetta	B 588	Retro Supercars	Italy	250,000	Epic	Wheelspin, Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1987	Ferrari	F40	A 678	Retro Supercars	Italy	2,000,000	Legendary	Autoshow, Collection Journal	
1989	Ferrari	F40 Competizione	R 948	Retro Racers	Italy	3,200,000	Legendary	Autoshow, Wheelspin	
1995	Ferrari	F50	A 678	Retro Supercars	Italy	4,500,000	Legendary	Autoshow, Wheelspin	
1996	Ferrari	F50 GT	R 949	Extreme Track Toys	Italy			Collection Journal, Seasonal	Not in Autoshow
2019	Ferrari	F8 Tributo	S2 802	Modern Supercars	Italy			Wheelspin, Seasonal	Not in Autoshow
2025	Ferrari	F80	R 920	Hypercars	Italy			Autoshow DLC	Italian Passion Car Pack
2005	Ferrari	FXX	S2 900	Extreme Track Toys	Italy	2,500,000	Legendary	Autoshow, Wheelspin	
2014	Ferrari	FXX K	R 936	Extreme Track Toys	Italy	4,300,000	Legendary	Autoshow, Wheelspin	
2018	Ferrari	FXX-K Evo	R 957	Extreme Track Toys	Italy	4,500,000	Legendary	Autoshow, Wheelspin	
2018	Ferrari	FXX-K Evo Welcome Pack	R 998	Extreme Track Toys	Italy	250,000	Legendary	Autoshow DLC	Welcome Pack
2017	Ferrari	J50	S1 772	Modern Supercars	Italy	2,500,000	Rare	Autoshow, Wheelspin	
2017	Ferrari	J50 Preorder Car	S1 800	Modern Supercars	Italy	309,000	Legendary	Autoshow DLC	Preorder Bonus
2013	Ferrari	LaFerrari	S2 857	Hypercars	Italy	3,000,000	Legendary	Autoshow, Wheelspin	
2019	Ferrari	Monza SP2	S1 773	Super GT	Italy	2,500,000	Legendary	Autoshow, Wheelspin	
2018	Ferrari	Portofino	S1 714	Super GT	Italy	200,000	Epic	Autoshow, Wheelspin	
2020	Ferrari	Roma	S1 735	Super GT	Italy	250,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2020	Ferrari	SF90 Stradale	S2 851	Hypercars	Italy	575,000	Legendary	Autoshow, Wheelspin	
2014	Ford	#11 Rockstar F-150 Trophy Truck	A 613	Unlimited Offroad	USA	450,000	Epic	Autoshow, Wheelspin	
2017	Ford	#14 Rahal Letterman Lanigan Racing Fiesta	S1 772	Rally Monsters	USA	150,000	Epic	Autoshow, Collection Journal	
1966	Ford	#2 GT40 Mk II	A 666	Classic Racers	USA	13,200,000	Legendary	Autoshow, Wheelspin	
2020	Ford	#2069 Ford Performance Bronco R	C 441	Offroad	USA	450,000	Epic	Autoshow, Wheelspin	
2017	Ford	#25 'Brocky' Ultra4 Bronco RTR	A 644	Unlimited Offroad	USA	75,000	Epic	Autoshow, Collection Journal	
2001	Ford	#4 Ford Focus RS	A 639	Rally Monsters	USA	415,000	Rare	Autoshow, Wheelspin	
1977	Ford	#5 Escort RS1800 Mk II	B 544	Classic Rally	USA	185,000	Epic	Autoshow, Wheelspin	
2022	Ford	Bronco Raptor	C 473	Pickups & 4x4s	USA	50,000	Epic	Autoshow, Wheelspin	
1973	Ford	Capri RS3100	D 394	Classic Sports Cars	USA	69,000	Rare	Autoshow, Wheelspin	
2010	Ford	Crown Victoria Police Interceptor	D 354	Retro Muscle	USA	15,000	Common	Autoshow, Wheelspin	
1932	Ford	De Luxe Five-Window Coupe	D 100	Rods and Customs	USA	36,000	Common	Autoshow, Wheelspin	
1992	Ford	Escort RS Cosworth	C 456	Retro Rally	USA	65,000	Rare	Autoshow, Wheelspin	
2022	Ford	F-150 Lightning	C 500	Pickups & 4x4s	USA	250,000	Epic	Wheelspin, Seasonal	Not in Autoshow
2023	Ford	F-150 Raptor R	B 536	Pickups & 4x4s	USA	110,000	Epic	Autoshow, Wheelspin	
2023	Ford	F-150 Raptor R Welcome Pack	B 600	Pickups & 4x4s	USA	50,000	Legendary	Autoshow DLC	Welcome Pack
2003	Ford	F-150 SVT Lightning	C 474	Pickups & 4x4s	USA	250,000	Common	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1986	Ford	F-150 XLT Lariat	D 263	Pickups & 4x4s	USA	45,000	Common	Autoshow, Wheelspin	
1986	Ford	F-150 XLT Lariat Forza Edition	S2 850	Drift Cars	USA			Wheelspin, Seasonal	Not in Autoshow
2023	Ford	Fiesta ST	C 500	Hot Hatch	USA	26,000	Common	Autoshow, Wheelspin	
2003	Ford	Focus RS	C 484	Retro Hot Hatch	USA	35,000	Common	Autoshow, Wheelspin	
2009	Ford	Focus RS	B 551	Super Hot Hatch	USA	52,000	Epic	Autoshow	
2017	Ford	Focus RS	B 588	Super Hot Hatch	USA	37,000	Epic	Autoshow, Collection Journal	
2022	Ford	Focus ST	B 594	Hot Hatch	USA	34,000	Common	Autoshow, Wheelspin	
2014	Ford	FPV Limited Edition Pursuit Ute	B 563	Utility Heroes	USA	40,000	Common	Autoshow, Wheelspin	
2005	Ford	GT	A 676	Retro Supercars	USA	585,000	Treasure Car	Collection Journal	Not in Autoshow, is discoverable Treasure Car
2017	Ford	GT	S1 757	Modern Supercars	USA	500,000	Epic	Autoshow, Wheelspin	
2017	Ford	M-Sport Fiesta RS	S1 707	Rally Monsters	USA			Wheelspin, Seasonal	Not in Autoshow
1969	Ford	Mustang Boss 302	C 468	Classic Muscle	USA	75,000	Rare	Autoshow, Wheelspin	
2024	Ford	Mustang Dark Horse	A 669	Modern Muscle	USA	59,000	Epic	Autoshow, Collection Journal	
2024	Ford	Mustang GT	A 628	Modern Muscle	USA	45,000	Epic	Autoshow, Wheelspin	
1968	Ford	Mustang GT 2+2 Fastback	D 394	Classic Muscle	USA	119,000	Legendary	Autoshow, Wheelspin	
1968	Ford	Mustang GT 2+2 Fastback Forza Edition	A 700	Drift Cars	USA			Wheelspin, Seasonal	Not in Autoshow
1965	Ford	Mustang GT Coupe	D 388	Classic Muscle	USA	52,000	Epic	Autoshow	
2018	Ford	Mustang RTR Spec 5	A 648	Modern Muscle	USA	35,000	Rare	Autoshow, Wheelspin	
2016	Ford	Mustang Shelby GT350R	S1 721	Track Toys	USA	88,000	Rare	Autoshow, Wheelspin	
2013	Ford	Mustang Shelby GT500	A 647	Modern Muscle	USA	60,000	Rare	Autoshow, Wheelspin	
2020	Ford	Mustang Shelby GT500	S1 734	Modern Muscle	USA	125,000	Rare	Autoshow, Wheelspin	
1993	Ford	Mustang SVT Cobra R	C 432	Retro Muscle	USA	84,000	Common	Autoshow, Wheelspin	
2000	Ford	Mustang SVT Cobra R	B 528	Retro Muscle	USA	153,000	Common	Autoshow, Wheelspin	
1999	Ford	Racing Puma	C 401	Retro Rally	USA	30,000	Rare	Autoshow, Wheelspin	
2014	Ford	Ranger T6 Rally Raid	B 530	Offroad	USA			Wheelspin, Seasonal	Not in Autoshow
1985	Ford	RS200 Evolution	S1 710	Rally Monsters	USA	420,000	Epic	Seasonal	Not in Autoshow, from Pier Pressure Wristband Event
1987	Ford	Sierra Cosworth RS500	C 484	Retro Super Saloons	USA			Collection Journal	Not in Autoshow, is discoverable Barn Find in Ito
2020	Ford	Super Duty F-450 DRW PLATINUM	D 379	Pickups & 4x4s	USA	65,000	Common	Autoshow, Wheelspin	
2020	Ford	Super Duty F-450 DRW PLATINUM Forza Edition	A 700	Pickups & 4x4s	USA			Wheelspin, Seasonal	Not in Autoshow
1994	Ford	Supervan 3	S1 740	Track Toys	USA	250,000	Epic	Autoshow, Wheelspin	
2022	Ford	Supervan 4	R 919	Extreme Track Toys	USA			Collection Journal, Seasonal	Not in Autoshow
2011	Ford	Transit SuperSportVan	D 235	Utility Heroes	USA	42,000	Rare	Autoshow, Wheelspin	
1973	Ford	XB Falcon GT	C 422	Classic Muscle	USA	218,000	Rare	Autoshow, Wheelspin	
2007	Formula Drift	#117 599 GTB Fiorano	S1 767	Drift Cars	USA	525,000	Epic	Autoshow, Collection Journal	
2015	Formula Drift	#13 Ford Mustang	S1 739	Drift Cars	USA			Wheelspin, Seasonal	Not in Autoshow
2020	Formula Drift	#151 Toyota GR Supra	S1 779	Drift Cars	USA	185,000	Epic	Autoshow, Wheelspin	
1995	Formula Drift	#34 Toyota Supra MkIV	S1 759	Drift Cars	USA	150,000	Epic	Autoshow, Wheelspin	
2019	Formula Drift	#411 Toyota Corolla Hatchback	S1 754	Drift Cars	USA	150,000	Epic	Autoshow, Wheelspin	
2006	Formula Drift	#43 Dodge Viper SRT-10 ACR	S1 748	Drift Cars	USA			Wheelspin, Seasonal	Not in Autoshow
2016	Formula Drift	#530 HSV Maloo GEN-F	S1 710	Drift Cars	USA	150,000	Epic	Autoshow, Wheelspin	
